experiment_name,mode,step,cumulative_time,tokens_per_sec,peak_mem_mb,loss,ppl,accuracy,amp,ddp,params
baseline,eval,500,206.17062541656196,9957.929190839615,24609.734144,7.405264854431152,1753.6945933757195,0.05194227005870841,False,False,835135488
baseline,eval,1000,412.3989805607125,9914.714846329978,24609.734144,7.52048397064209,1690.2681430694772,0.05194227005870841,False,False,835135488
baseline,eval,1500,618.9271867908537,9911.747812882193,24609.734144,7.4977803230285645,1655.369297970309,0.05194227005870841,False,False,835135488
baseline,eval,2000,825.5042760502547,9916.972534906214,24609.734144,7.453862190246582,1620.8516759745758,0.05194227005870841,False,False,835135488
baseline,eval,2500,1031.9973004255444,9924.561450406429,24609.734144,7.439105987548828,1608.1062123274673,0.05194227005870841,False,False,835135488
baseline,eval,3000,1238.42490579281,9925.31132449411,24609.734144,7.4031662940979,1599.0215624835892,0.05194227005870841,False,False,835135488
baseline,eval,3500,1444.8351100403816,9921.781899656175,24609.734144,7.347026824951172,1593.4659463896965,0.05194227005870841,False,False,835135488
baseline,eval,4000,1651.3500021575019,9915.583043257537,24609.734144,7.498161315917969,1592.553659287512,0.05194227005870841,False,False,835135488
