experiment_name,param,value,cumulative_time,tokens_per_sec,peak_mem_mb,loss,ppl,accuracy
baseline,train.batch_size,4,31.793537314981222,38340.75338588381,5053.697024,7.520565509796143,1845.610709930861,0.040332681017612525
baseline,train.batch_size,8,51.040323697030544,44089.87697961311,8104.406016,7.440986156463623,1704.4302275256982,0.05194227005870841
baseline,train.batch_size,16,91.309845386073,47250.35533696044,14203.322368,7.404271125793457,1642.9868687958924,0.05118232224396608
baseline,train.batch_size,32,170.402454697527,49459.435011807196,26411.793408,7.377140998840332,1599.0116503666404,0.05118232224396608
