experiment_name,mode,step,cumulative_time,tokens_per_sec,peak_mem_mb,loss,ppl,accuracy,amp,ddp,params
baseline,eval,500,44.718443686142564,48405.05085564067,8088.598016,6.006573677062988,430.0838125231328,0.19158512720156556,False,False,162643968
baseline,eval,1000,87.27768004871905,47943.72378207521,8088.598016,5.85869026184082,289.9962501562188,0.21773972602739727,False,False,162643968
baseline,eval,1500,130.08114604838192,47758.815220574244,8088.598016,5.479406356811523,221.07444253107818,0.23959882583170256,False,False,162643968
baseline,eval,2000,173.08609240874648,46445.646076415906,8088.598016,5.3763580322265625,179.63457428041067,0.25624755381604697,False,False,162643968
baseline,eval,2500,216.16503475047648,47443.13785345645,8088.598016,5.2073140144348145,154.76580402659582,0.26731409001956946,False,False,162643968
baseline,eval,3000,259.3632515203208,47447.519317655984,8088.598016,4.809366703033447,141.33079555858342,0.2751614481409002,False,False,162643968
baseline,eval,3500,302.559355372563,47433.06426096725,8088.598016,5.08052396774292,134.69542121759173,0.2796917808219178,False,False,162643968
baseline,eval,4000,345.815652532503,47433.10759476239,8088.598016,5.094300270080566,133.31878108976915,0.2806898238747554,False,False,162643968
