experiment_name,param,value,cumulative_time,tokens_per_sec,peak_mem_mb,loss,ppl,accuracy
baseline,data.seq_len,256,28.234597959555686,41957.349178792996,5039.133696,7.548497200012207,1897.8884404374703,0.05078431372549019
baseline,data.seq_len,512,51.24869883712381,44089.12398529879,8105.21088,7.440860271453857,1704.215678814378,0.05194227005870841
baseline,data.seq_len,1024,113.91202667821199,38513.123236296604,14257.668096,7.404207706451416,1642.8826749536788,0.051213750407298794
baseline,data.seq_len,2048,295.38703448325396,28955.902687091333,26658.157568,7.364765167236328,1579.3445011321114,0.04065182497033987
